id_distrito;id_concelho;nome_concelho
17;5;Mondim de Basto
18;5;Lamego
31;5;Ponta do Sol
42;5;Ribeira Grande
1;6;Castelo de Paiva
2;6;Castro Verde
3;6;Esposende
4;6;Miranda do Douro
5;6;Oleiros
6;6;Góis
7;6;Montemor-o-Novo
8;6;Lagoa (Algarve)
9;6;Gouveia
10;6;Caldas da Rainha
11;6;Lisboa
12;6;Crato
13;6;Maia
14;6;Cartaxo
15;6;Moita
16;6;Ponte da Barca
17;6;Montalegre
18;6;Mangualde
31;6;Porto Moniz
42;6;Vila Franca do Campo
1;7;Espinho
2;7;Cuba
3;7;Fafe
4;7;Mirandela
5;7;Penamacor
6;7;Lousã
7;7;Mora
8;7;Lagos
9;7;Guarda
10;7;Castanheira de Pêra
11;7;Loures
12;7;Elvas
13;7;Marco de Canaveses
14;7;Chamusca
15;7;Montijo
16;7;Ponte de Lima
17;7;Murça
18;7;Moimenta da Beira
31;7;Ribeira Brava
1;8;Estarreja
2;8;Ferreira do Alentejo
3;8;Guimarães
4;8;Mogadouro
5;8;Proença-a-Nova
6;8;Mira
7;8;Mourão
8;8;Loulé
9;8;Manteigas
10;8;Figueiró dos Vinhos
11;8;Lourinhã
12;8;Fronteira
13;8;Matosinhos
14;8;Constância
15;8;Palmela
16;8;Valença
17;8;Peso da Régua
18;8;Mortágua
31;8;Santa Cruz
1;9;Santa Maria da Feira
2;9;Mértola
3;9;Póvoa de Lanhoso
4;9;Torre de Moncorvo
5;9;Sertã
6;9;Miranda do Corvo
7;9;Portel
8;9;Monchique
9;9;Mêda
10;9;Leiria
11;9;Mafra
12;9;Gavião
13;9;Paços de Ferreira
14;9;Coruche
15;9;Santiago do Cacém
16;9;Viana do Castelo
17;9;Ribeira de Pena
18;9;Nelas
31;9;Santana
1;10;Ílhavo
2;10;Moura
3;10;Terras de Bouro
4;10;Vila Flor
5;10;Vila de Rei
6;10;Montemor-o-Velho
7;10;Redondo
8;10;Olhão
9;10;Pinhel
10;10;Marinha Grande
11;10;Oeiras
12;10;Marvão
13;10;Paredes
14;10;Entroncamento
15;10;Seixal
16;10;Vila Nova de Cerveira
17;10;Sabrosa
18;10;Oliveira de Frades
31;10;São Vicente
1;11;Mealhada
2;11;Odemira
3;11;Vieira do Minho
4;11;Vimioso
5;11;Vila Velha de Ródão
6;11;Oliveira do Hospital
7;11;Reguengos de Monsaraz
8;11;Portimão
9;11;Sabugal
10;11;Nazaré
11;11;Sintra
12;11;Monforte
